id,name,description,itemized_description
4071,The Monster Guarding the 5th Floor,"Ki +1 and ATK & DEF +120%; 
reduces damage received by 30%; plus an additional 
ATK +120% and all enemies' ATK & DEF -12% 
within the same turn after receiving an attack; 
after the character receives an attack 7 or more times 
in battle, the character's Super Attack will be sealed 
within the character's next attacking turn (once only) 
and starting from that turn, damage reduction rate -20%; 
after the character receives an attack 10 or more times 
in battle, the character will be stunned 
within the character's next attacking turn (once only)","*Basic effect(s)*
- Ki +1 and ATK & DEF 120%{passiveImg:up_g}
- Damage reduction rate 30%{passiveImg:up_g}
*After receiving an attack*
- ATK 120%{passiveImg:up_g}
- All enemies' ATK & DEF 12%{passiveImg:down_y}
*After receiving 7 or more attacks in battle*
- {passiveImg:once}Character's Super Attack will be sealed within the
character's next attacking turn
- {passiveImg:forever}Damage reduction rate 20%{passiveImg:down_r}
*After receiving 10 or more attacks in battle*
- {passiveImg:once}Character will be stunned within the character's next
attacking turn"
4072,The Huge and Soft Monster,"Ki +2 and ATK & DEF +240%; 
reduces damage received by 50%; plus an additional 
ATK +240% and all enemies' ATK & DEF -24% 
within the same turn after receiving an attack; 
after the character receives an attack 7 or more times 
in battle, the character's Super Attack will be sealed 
within the character's next attacking turn (once only) 
and starting from that turn, damage reduction rate -20%; 
after the character receives an attack 10 or more times 
in battle, the character will be stunned 
within the character's next attacking turn (once only); 
nullifies Ki Blast Super Attacks directed at the character 
if HP is 50% or more when receiving an attack","*Basic effect(s)*
- Ki +2 and ATK & DEF 240%{passiveImg:up_g}
- Damage reduction rate 50%{passiveImg:up_g}
*After receiving an attack*
- ATK 240%{passiveImg:up_g}
- All enemies' ATK & DEF 24%{passiveImg:down_y}
*After receiving 7 or more attacks in battle*
- {passiveImg:once}Character's Super Attack will be sealed within the
character's next attacking turn
- {passiveImg:forever}Damage reduction rate 20%{passiveImg:down_r}
*After receiving 10 or more attacks in battle*
- {passiveImg:once}Character will be stunned within the character's next
attacking turn
*If HP is 50% or more when receiving an attack*
- Nullifies Ki Blast Super Attacks directed at the character"
4073,Fight's Over!,"Ki +2 and ATK & DEF +200%; guards all attacks for 5 turns 
from the character's entry turn; plus an additional 
ATK & DEF +100% when performing a Super Attack; 
plus an additional ATK & DEF +50% with each Super Attack 
performed (up to 100%); plus an additional ATK & DEF +50% 
within the same turn after receiving an attack; 
launches an additional Super Attack within the same turn 
after receiving an attack, plus an additional ATK & DEF +50% 
and guards all attacks when there is an enemy whose name 
includes ""Cell"" (characters such as Cell Jr. excluded); 
stuns enemies attacked by the character's Super Attack","*Basic effect(s)*
- Ki +2 and ATK & DEF 200%{passiveImg:up_g}
*For 5 turn(s) from the character's entry turn*
- Guards all attacks
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*For every Super Attack performed*
- {passiveImg:forever}ATK & DEF 50%{passiveImg:up_g} (up to 100%)
*After receiving an attack*
- ATK & DEF 50%{passiveImg:up_g}
*When there is an enemy whose name includes ""Cell""
(characters such as Cell Jr. excluded)*
- ATK & DEF 50%{passiveImg:up_g}
- Guards all attacks
*After receiving an attack*
- Launches an additional Super Attack
*After performing a Super Attack*
- Stuns the attacked enemy"
4074,For the Earth,"Ki +2 and ATK & DEF +160%; guards all attacks; 
plus an additional ATK & DEF +80% when attacking; 
high chance of performing a critical hit 
within the same turn after receiving an attack; 
reduces damage received by 16% whenever guard is 
activated (up to 48%); plus an additional ATK +80% and 
DEF +160% and all allies' Ki +3 and ATK & DEF +58% 
when your team has ""Super Saiyan Gohan (Youth)"" or 
""Super Saiyan 2 Gohan (Youth)"" attacking in the same turn","*Basic effect(s)*
- Ki +2 and ATK & DEF 160%{passiveImg:up_g}
- Guards all attacks
*When attacking*
- ATK & DEF 80%{passiveImg:up_g}
*After receiving an attack*
- High chance of performing a critical hit
*Whenever guard is activated*
- {passiveImg:forever}Damage reduction rate 16%{passiveImg:up_g} (up to 48%)
*When your team has ""Super Saiyan Gohan (Youth)"" or
""Super Saiyan 2 Gohan (Youth)"" attacking in the same turn*
- ATK 80%{passiveImg:up_g}
- DEF 160%{passiveImg:up_g}
- All allies' Ki +3 and ATK & DEF 58%{passiveImg:up_g}"
4075,Dispersion,"ATK & DEF +150%; plus an additional ATK & DEF +30% and 
chance of evading enemy's attack (including Super Attack) +10% 
per ""Artificial Life Forms"" Category ally on the team; 
""Artificial Life Forms"" Category allies' Ki +3 and 
ATK & DEF +30%; launches an additional attack 
that has a high chance of becoming a Super Attack; 
launches an additional Super Attack and randomly changes 
Ki Spheres of a certain Type (AGL & INT excluded) 
to Rainbow Ki Spheres when your team has 
""Cell (Perfect Form)"" or ""Perfect Cell"" 
attacking in the same turn","*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
- ""Artificial Life Forms"" Category allies' Ki +3 and ATK & DEF
30%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack
*Per ""Artificial Life Forms"" Category ally on the team*
- ATK & DEF 30%{passiveImg:up_g}
- Chance of evading enemy's attack 10%{passiveImg:up_g}
*When your team has ""Cell (Perfect Form)"" or ""Perfect Cell""
attacking in the same turn*
- Launches an additional Super Attack
- Randomly changes Ki Spheres of a certain Type (AGL & INT
excluded) to Rainbow Ki Spheres"
4076,Power Brought to Bear,"ATK & DEF +150%; plus an additional ATK & DEF +100% 
when performing a Super Attack and if HP is 50% or less 
when performing a Super Attack, performs a critical hit; 
launches an additional attack that has a great chance of 
becoming a Super Attack; reduces damage received by 30%; 
plus an additional damage reduction of 20% when 
HP is 70% or less at start of turn, plus an additional 
damage reduction of 20% when HP is 50% or less 
at start of turn, plus an additional damage reduction of 20% 
when HP is 30% or less at start of turn; all allies' Ki +1 and 
ATK & DEF +25%, plus an additional Ki +2 and ATK & DEF +25% 
for AGL, STR & PHY Type allies; weakens Regeneration","*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
- Launches an additional attack that has a great chance of
becoming a Super Attack
- Damage reduction rate 30%{passiveImg:up_g}
- All allies' Ki +1 and ATK & DEF 25%{passiveImg:up_g}
- AGL, STR & PHY Type allies' Ki +2 and ATK & DEF 25%{passiveImg:up_g}
- Weakens Regeneration
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
- Performs a critical hit when HP is 50% or less
*When HP is 70% or less*
- Damage reduction rate 20%{passiveImg:up_g}
*When HP is 50% or less*
- Damage reduction rate 20%{passiveImg:up_g}
*When HP is 30% or less*
- Damage reduction rate 20%{passiveImg:up_g}"
4077,Ultimatum,"Ki +2 and ATK & DEF +100%; 
plus an additional ATK & DEF +50% when attacking; 
plus an additional DEF +10% per ""Terrifying Conquerors"" 
Category ally on the team; plus an additional 
ATK & chance of performing a critical hit +50% 
when there is a ""Pure Saiyans"" Category enemy","*Basic effect(s)*
- Ki +2 and ATK & DEF 100%{passiveImg:up_g}
*When attacking*
- ATK & DEF 50%{passiveImg:up_g}
*Per ""Terrifying Conquerors"" Category ally on the team*
- DEF 10%{passiveImg:up_g}
*When there is a ""Pure Saiyans"" Category enemy*
- ATK & chance of performing a critical hit 50%{passiveImg:up_g}"
4078,Complete Purge,"Activates the Entrance Animation (once only) and 
ATK & DEF +100% and launches an additional attack that 
has a high chance of becoming a Super Attack for 5 turns 
from the character's entry turn when there are another 
2 or more ""Space-Traveling Warriors"" Category allies 
on the team upon the character's entry; Ki +3 and 
ATK & DEF +150%; plus an additional ATK & DEF +150% 
when attacking; plus an additional DEF +20% and chance of 
performing a critical hit +10% per ""Terrifying Conquerors"" 
Category ally on the team; plus an additional ATK +100% and 
launches an additional Super Attack starting from the turn 
in which the character performs the 5th attack in battle; 
if there is a ""Pure Saiyans"" Category enemy, 
launches an additional Super Attack when there is 
a ""Low-Class Warrior"" Category enemy 
plus an additional ATK +100% and chance of 
performing a critical hit +50%","*Activates the Entrance Animation when another 2 or more
""Space-Traveling Warriors"" Category allies are on the team
upon the character's entry*
- {passiveImg:once}ATK & DEF 100%{passiveImg:up_g} and launches an additional attack
that has a high chance of becoming a Super Attack for 5
turn(s)
*Basic effect(s)*
- Ki +3 and ATK & DEF 150%{passiveImg:up_g}
*When attacking*
- ATK & DEF 150%{passiveImg:up_g}
*Per ""Terrifying Conquerors"" Category ally on the team*
- DEF 20%{passiveImg:up_g}
- Chance of performing a critical hit 10%{passiveImg:up_g}
*After performing 5 or more attacks in battle*
- {passiveImg:forever}ATK 100%{passiveImg:up_g}
- {passiveImg:forever}Launches an additional Super Attack
*When there is a ""Pure Saiyans"" Category enemy*
- ATK 100%{passiveImg:up_g}
- Chance of performing a critical hit 50%{passiveImg:up_g}
*When there is a ""Low-Class Warrior"" Category enemy*
- Launches an additional Super Attack"
4079,Allow Me to Enlighten You Before You Die,"Ki +1 and ATK & DEF +100%; plus an additional 
ATK & DEF +50% when performing a Super Attack; 
plus an additional ATK +10% with each attack performed 
(up to 50%); ""Inhuman Deeds"" Category allies' Ki +1 and 
ATK & DEF +30%; launches an additional attack 
that has a high chance of becoming a Super Attack 
when there is an ally whose name includes 
""Frieza"" (Frieza Soldier excluded) on the team","*Basic effect(s)*
- Ki +1 and ATK & DEF 100%{passiveImg:up_g}
- ""Inhuman Deeds"" Category allies' Ki +1 and ATK & DEF
30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 50%{passiveImg:up_g}
*For every attack performed*
- {passiveImg:forever}ATK 10%{passiveImg:up_g} (up to 50%)
*When there is an ally whose name includes ""Frieza"" (Frieza
Soldier excluded) on the team*
- Launches an additional attack that has a high chance of
becoming a Super Attack"
4080,This Was Ordered by Lord Frieza,"Ki +2 and ATK & DEF +150%; plus an additional 
ATK & DEF +100% when performing a Super Attack; 
plus an additional ATK +10% (up to 50%) and chance of 
performing a critical hit +6% (up to 30%) with each attack 
performed; ""Inhuman Deeds"" Category allies' Ki +2 and 
ATK & DEF +50%; launches an additional attack that has 
a high chance of becoming a Super Attack for 5 turns 
from the character's entry turn; plus an additional 
ATK & DEF +100% and chance of performing a critical hit +50% 
starting from the 6th turn from the character's entry turn; 
launches an additional attack that has a great chance of 
becoming a Super Attack when there is an ally whose name 
includes ""Frieza"" (Frieza Soldier excluded) on the team, 
and guards all attacks if that ally is attacking in the same turn","*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- ""Inhuman Deeds"" Category allies' Ki +2 and ATK & DEF
50%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*For every attack performed*
- {passiveImg:forever}ATK 10%{passiveImg:up_g} (up to 50%)
- {passiveImg:forever}Chance of performing a critical hit 6%{passiveImg:up_g} (up to 30%)
*For 5 turn(s) from the character's entry turn*
- Launches an additional attack that has a high chance of
becoming a Super Attack
*Starting from the 6th turn from the character's entry turn*
- ATK & DEF 100%{passiveImg:up_g}
- Chance of performing a critical hit 50%{passiveImg:up_g}
*When there is an ally whose name includes ""Frieza"" (Frieza
Soldier excluded) on the team*
- Launches an additional attack that has a great chance of
becoming a Super Attack
- Guards all attacks if that ally is attacking in the same turn"
4081,Sense of Competition Towards Rival,"Ki +2 and ATK & DEF +100%; the more HP remaining when 
the character attacks for the 1st time in a turn, the greater 
the additional ATK boost received within the turn (up to 100%); 
the more HP remaining when the character receives 
an attack for the 1st time in a turn, the greater the 
additional DEF boost received within the turn (up to 100%); 
launches an additional attack that has a high chance of 
becoming a Super Attack when there is an ally whose name 
includes ""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded) 
attacking in the same turn or an enemy whose name 
includes ""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded)","*Basic effect(s)*
- Ki +2 and ATK & DEF 100%{passiveImg:up_g}
*When attacking for the 1st time*
- The more HP remaining, the greater the ATK boost within
the turn (up to 100%{passiveImg:up_g})
*When receiving an attack for the 1st time*
- The more HP remaining, the greater the DEF boost within the
turn (up to 100%{passiveImg:up_g})
*When the name of an ally who is attacking in the same turn or
an enemy includes ""Goku"" (Youth, Captain Ginyu, Jr., etc.
excluded)*
- Launches an additional attack that has a high chance of
becoming a Super Attack"
4082,Saiyans Assemble,"Ki +3 and ATK & DEF +100%; plus an additional ATK +50% 
when performing a Super Attack; plus an additional 
Ki +1 (up to +5) and ATK & DEF +20% (up to 100%) 
per ""Team Bardock"" Category ally on the team; 
plus an additional DEF +50% and launches an 
additional Super Attack when there is another 
""Team Bardock"" Category ally attacking in the same turn; 
Super Class allies' ATK & DEF +50%; 
Ki +1 plus an additional ATK & DEF +20% 
for ""Team Bardock"" Category allies","*Basic effect(s)*
- Ki +3 and ATK & DEF 100%{passiveImg:up_g}
- Super Class allies' ATK & DEF 50%{passiveImg:up_g}
- ""Team Bardock"" Category allies' Ki +1 and ATK & DEF 20%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}
*Per ""Team Bardock"" Category ally on the team*
- Ki +1 (up to +5)
- ATK & DEF 20%{passiveImg:up_g} (up to 100%)
*When there is another ""Team Bardock"" Category ally
attacking in the same turn*
- DEF 50%{passiveImg:up_g}
- Launches an additional Super Attack"
4083,Destined Opponent,"Ki +2 and ATK & DEF +150%; plus an additional ATK +50% 
when attacking; plus an additional ATK +20% (up to 100%) 
and reduces damage received by 10% (up to 50%) per 
""Low-Class Warrior"" Category ally on the team; plus an 
additional ATK +50% and attacks effective against all Types 
when there is a ""Wicked Bloodline"" Category enemy; 
launches an additional attack that has a high chance of 
becoming a Super Attack when there is another 
""Low-Class Warrior"" Category ally attacking in the same turn","*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
*When attacking*
- ATK 50%{passiveImg:up_g}
*Per ""Low-Class Warrior"" Category ally on the team*
- ATK 20%{passiveImg:up_g} (up to 100%)
- Damage reduction rate 10%{passiveImg:up_g} (up to 50%)
*When there is a ""Wicked Bloodline"" Category enemy*
- ATK 50%{passiveImg:up_g}
- Attacks are effective against all Types
*When there is another ""Low-Class Warrior"" Category ally
attacking in the same turn*
- Launches an additional attack that has a high chance of
becoming a Super Attack"
4084,Golden Saiyan,"Ki +3, ATK & DEF +180% and attacks effective against all Types; 
reduces damage received by 18%; launches an additional attack 
that has a great chance of becoming a Super Attack; 
plus an additional ATK +100% when attacking; 
medium chance of performing a critical hit; 
medium chance of evading enemy's attack 
(including Super Attack); plus an additional Ki +3, 
chance of performing a critical hit & chance of evading 
enemy's attack (including Super Attack) +18% and 
reduces damage received by 18% for 5 turns 
from the character's entry turn; launches an additional 
Super Attack and all attacks become critical hits 
when there is a ""Wicked Bloodline"" Category enemy","*Basic effect(s)*
- Ki +3 and ATK & DEF 180%{passiveImg:up_g}
- Attacks are effective against all Types
- Damage reduction rate 18%{passiveImg:up_g}
- Launches an additional attack that has a great chance of
becoming a Super Attack
- Medium chance of performing a critical hit
- Medium chance of evading enemy's attack
*When attacking*
- ATK 100%{passiveImg:up_g}
*For 5 turn(s) from the character's entry turn*
- Ki +3
- Chance of performing a critical hit, chance of evading
enemy's attack & damage reduction rate 18%{passiveImg:up_g}
*When there is a ""Wicked Bloodline"" Category enemy*
- Launches an additional Super Attack
- Performs a critical hit"
4085,Superiority Complex Over Rival,"Ki +2 and ATK & DEF +150%; guards all attacks; 
reduces damage received by 18% and launches an 
additional Super Attack for 3 turns from the character's 
entry turn; the more HP remaining when the character 
attacks for the 1st time in a turn, the greater the additional 
ATK boost received within the turn (up to 150%); 
the more HP remaining when the character receives 
an attack for the 1st time in a turn, the greater the additional 
DEF boost received within the turn (up to 150%); plus an 
additional DEF +31% with each attack received (up to 80%); 
launches an additional attack that has a great chance of 
becoming a Super Attack when there is an ally whose name 
includes ""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded) 
attacking in the same turn or an enemy whose name 
includes ""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded)","*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- Guards all attacks
*For 3 turn(s) from the character's entry turn*
- Damage reduction rate 18%{passiveImg:up_g}
- Launches an additional Super Attack
*When attacking for the 1st time*
- The more HP remaining, the greater the ATK boost within
the turn (up to 150%{passiveImg:up_g})
*When receiving an attack for the 1st time*
- The more HP remaining, the greater the DEF boost within the
turn (up to 150%{passiveImg:up_g})
*For every attack received*
- {passiveImg:forever}DEF 31%{passiveImg:up_g} (up to 80%)
*When the name of an ally who is attacking in the same turn or
an enemy includes ""Goku"" (Youth, Captain Ginyu, Jr., etc.
excluded)*
- Launches an additional attack that has a great chance of
becoming a Super Attack"
4086,Shocking Evolution,"Ki +3 and ATK & DEF +180%; guards all attacks; 
reduces damage received by 18%; plus an additional 
ATK +180% when attacking and if HP is 30% or more 
when attacking, launches an additional attack that has 
a great chance of becoming a Super Attack; 
plus an additional ATK +30% if the target enemy's 
HP is 80% or less when attacking, plus an additional 
ATK +30% if the target enemy's HP is 60% or less 
when attacking, plus an additional ATK +50% if the 
target enemy's HP is 40% or less when attacking; 
plus an additional DEF +180% when receiving an attack; 
launches an additional Super Attack within the same turn 
and disables the attacked enemy's action once 
within the turn after receiving an attack","*Basic effect(s)*
- Ki +3 and ATK & DEF 180%{passiveImg:up_g}
- Guards all attacks
- Damage reduction rate 18%{passiveImg:up_g}
*When attacking*
- ATK 180%{passiveImg:up_g}
- Launches an additional attack that has a great chance of
becoming a Super Attack when HP is 30% or more
*When the target enemy is in the following status: HP is 80%
or less*
- ATK 30%{passiveImg:up_g}
*When the target enemy is in the following status: HP is 60%
or less*
- ATK 30%{passiveImg:up_g}
*When the target enemy is in the following status: HP is 40%
or less*
- ATK 50%{passiveImg:up_g}
*When receiving an attack*
- DEF 180%{passiveImg:up_g}
*After receiving an attack*
- Launches an additional Super Attack
- {passiveImg:once}Interrupts the attacked enemy"
4087,Saiyan Conspirator,"Ki +2 and ATK & DEF +100%; 
plus an additional ATK & DEF +50% when attacking; 
changes PHY Ki Spheres to AGL Ki Spheres; 
reduces damage received by 18% with 3 or more 
Ki Spheres obtained; ""Pure Saiyans"" and 
""Vegeta's Family"" Category allies' ATK & DEF +20%; 
plus an additional ATK & DEF +50% when performing 
a Super Attack if there is an ally whose name includes 
""Vegeta"" (Jr., King, Baby and Duplicate excluded) 
attacking in the same turn","*Basic effect(s)*
- Ki +2 and ATK & DEF 100%{passiveImg:up_g}
- ""Pure Saiyans"" or ""Vegeta's Family"" Category allies' ATK &
DEF 20%{passiveImg:up_g}
*When attacking*
- ATK & DEF 50%{passiveImg:up_g}
- Changes Ki Spheres: PHY to AGL
*3 or more Ki Spheres obtained*
- Damage reduction rate 18%{passiveImg:up_g}
*When there is an ally whose name includes ""Vegeta"" (Jr.,
King, Baby and Duplicate excluded) attacking in the same
turn*
- ATK & DEF 50%{passiveImg:up_g} when attacking with 12 or more Ki"
4088,Rebellious Saiyan,"Ki +3 and ATK & DEF +180%; 
plus an additional ATK & DEF +90% when attacking; 
changes PHY Ki Spheres to AGL Ki Spheres; 
reduces damage received by 18% with 3 or more 
Ki Spheres obtained; plus an additional 
damage reduction of 18% with 3 or more 
AGL Ki Spheres obtained; ""Pure Saiyans"" and 
""Vegeta's Family"" Category allies' ATK & DEF +30% 
and chance of performing a critical hit +18%; 
plus an additional ATK & DEF +90% and all allies' 
Ki +3 and ATK & DEF +30% when performing 
a Super Attack if there is an ally whose name 
includes ""Vegeta"" (Jr., King, Baby and Duplicate 
excluded) attacking in the same turn","*Basic effect(s)*
- Ki +3 and ATK & DEF 180%{passiveImg:up_g}
- ""Pure Saiyans"" or ""Vegeta's Family"" Category allies' ATK &
DEF 30%{passiveImg:up_g} and chance of performing a critical hit 18%{passiveImg:up_g}
*When attacking*
- ATK & DEF 90%{passiveImg:up_g}
- Changes Ki Spheres: PHY to AGL
*3 or more Ki Spheres obtained*
- Damage reduction rate 18%{passiveImg:up_g}
*3 or more AGL Ki Spheres obtained*
- Damage reduction rate 18%{passiveImg:up_g}
*When there is an ally whose name includes ""Vegeta"" (Jr.,
King, Baby and Duplicate excluded) attacking in the same
turn*
- ATK & DEF 90%{passiveImg:up_g} when attacking with 12 or more Ki
- All allies' Ki +3 and ATK & DEF 30%{passiveImg:up_g}"
4089,True Nature of the Space Pirate,"ATK & DEF +30% per INT Ki Sphere obtained; 
plus an additional ATK & DEF +30% 
when performing a Super Attack; 
chance of performing a critical hit +30% 
when there are another 3 or more 
""Inhuman Deeds"" Category allies on the team","*For every INT Ki Sphere obtained*
- ATK & DEF 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 30%{passiveImg:up_g}
*When another 3 or more ""Inhuman Deeds"" Category allies
are on the team*
- Chance of performing a critical hit 30%{passiveImg:up_g}"
4090,True Nature of the Space Pirate,"ATK & DEF +10% per Ki Sphere obtained; 
plus an additional ATK & DEF +30% 
per INT Ki Sphere obtained; 
plus an additional ATK & DEF +40% when 
performing a Super Attack; Ki +1 and chance of 
performing a critical hit & chance of evading 
enemy's attack (including Super Attack) +30% 
when there are another 3 or more 
""Inhuman Deeds"" Category allies on the team","*For every Ki Sphere obtained*
- ATK & DEF 10%{passiveImg:up_g}
*For every INT Ki Sphere obtained*
- ATK & DEF 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 40%{passiveImg:up_g}
*When another 3 or more ""Inhuman Deeds"" Category allies
are on the team*
- Ki +1 and chance of performing a critical hit & chance of
evading enemy's attack 30%{passiveImg:up_g}"
4091,True Nature of the Space Pirate,"ATK & DEF +30% per Ki Sphere obtained; 
plus an additional ATK & DEF +30% 
per INT Ki Sphere obtained; 
plus an additional ATK & DEF +60% when 
performing a Super Attack; Ki +2 and chance of 
performing a critical hit & chance of evading 
enemy's attack (including Super Attack) +50% 
when there are another 2 or more 
""Inhuman Deeds"" Category allies on the team; 
high chance of stunning all enemies when there are 
2 or more Super Class enemies at start of turn","*For every Ki Sphere obtained*
- ATK & DEF 30%{passiveImg:up_g}
*For every INT Ki Sphere obtained*
- ATK & DEF 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 60%{passiveImg:up_g}
*When another 2 or more ""Inhuman Deeds"" Category allies
are on the team*
- Ki +2 and chance of performing a critical hit & chance of
evading enemy's attack 50%{passiveImg:up_g}
*When facing 2 or more Super Class enemies*
- High chance of stunning all enemies"
4092,One with Kami,"ATK & DEF +150% and seals the attacked enemy's 
Super Attack; high chance of evading enemy's attack 
(including Super Attack); plus an additional chance of 
evading enemy's attack (including Super Attack) +10% 
(up to 20%) within the same turn with each attack evaded 
(including Super Attack); plus an additional chance of 
evading enemy's attack (including Super Attack) +20% 
and ATK & DEF +150% as the 1st attacker in a turn; 
plus an additional ATK & DEF +150% when attacking 
as the 2nd or 3rd attacker in a turn; launches an 
additional attack that has a great chance of 
becoming a Super Attack within the same turn 
plus an additional ATK +100% for 3 turns 
after evading an attack (including Super Attack)","*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
- Seals the attacked enemy's Super Attack
- High chance of evading enemy's attack
*For every attack evaded*
- Chance of evading enemy's attack 10%{passiveImg:up_g} within the turn (up
to 20%)
*As the 1st attacker in a turn*
- Chance of evading enemy's attack 20%{passiveImg:up_g}
- ATK & DEF 150%{passiveImg:up_g}
*As the 2nd or 3rd attacker in a turn*
- ATK & DEF 150%{passiveImg:up_g} when attacking
*After evading an attack*
- Launches an additional attack that has a great chance of
becoming a Super Attack
- ATK 100%{passiveImg:up_g} for 3 turn(s)"
4093,Enjoying a Relaxing Time,"Activates the Entrance Animation (once only) and 
recovers 5% HP at the end of character's attacking turn 
and all allies' Ki +1 for 4 turns from the character's 
entry turn when there is another ""Earth-Bred Fighters"" 
Category ally on the team upon the character's entry; 
ATK & DEF +159%; plus an additional ATK & DEF +80% 
when performing a Super Attack; recovers 7% HP 
if HP is 90% or less at start of turn, great chance of 
guarding all attacks if HP is 60% or less at start of turn, 
recovers an additional 12% HP and great chance of 
launching an additional Super Attack if HP is 30% or less 
at start of turn; ""Bond of Parent and Child"" Category allies' 
Ki +1 and ATK & DEF +30%; plus an additional 
damage reduction of 30% when guard is activated if there is 
another ""Goku's Family"" Category ally attacking in the same turn","*Activates the Entrance Animation when there is another
""Earth-Bred Fighters"" Category ally on the team*
- {passiveImg:once}All allies' Ki +1 for 4 turn(s)
- {passiveImg:once}Recovers 5% HP at the end of the character's attacking
turn for 4 turn(s)
*Basic effect(s)*
- ATK & DEF 159%{passiveImg:up_g}
- ""Bond of Parent and Child"" Category allies' Ki +1 and ATK &
DEF 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 80%{passiveImg:up_g}
*When HP is 90% or less*
- Recovers 7% HP
*When HP is 60% or less*
- Great chance of guarding all attacks
*When HP is 30% or less*
- Recovers 12% HP
- Great chance of launching an additional Super Attack
*When there is another ""Goku's Family"" Category ally
attacking in the same turn*
- Damage reduction rate 30%{passiveImg:up_g} when guard is activated"
4094,Enjoying a Relaxing Time,"Activates the Entrance Animation (once only) and 
recovers 10% HP at the end of character's attacking turn 
and all allies' Ki +1 for 4 turns from the character's 
entry turn when there is another ""Earth-Bred Fighters"" 
Category ally on the team upon the character's entry; 
ATK & DEF +159%; plus an additional ATK & DEF +100% 
when performing a Super Attack; recovers 10% HP 
if HP is 90% or less at start of turn, guards all attacks 
if HP is 60% or less at start of turn, recovers an 
additional 15% HP and launches an additional Super Attack 
if HP is 30% or less at start of turn; ""Bond of Parent and Child"" 
Category allies' Ki +2 and ATK & DEF +30%; plus an additional 
damage reduction of 30% when guard is activated and an 
additional ATK +59% when performing a Super Attack if there is 
another ""Goku's Family"" Category ally attacking in the same turn","*Activates the Entrance Animation when there is another
""Earth-Bred Fighters"" Category ally on the team*
- {passiveImg:once}All allies' Ki +1 for 4 turn(s)
- {passiveImg:once}Recovers 10% HP at the end of the character's
attacking turn for 4 turn(s)
*Basic effect(s)*
- ATK & DEF 159%{passiveImg:up_g}
- ""Bond of Parent and Child"" Category allies' Ki +2 and ATK &
DEF 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*When HP is 90% or less*
- Recovers 10% HP
*When HP is 60% or less*
- Guards all attacks
*When HP is 30% or less*
- Recovers 15% HP
- Launches an additional Super Attack
*When there is another ""Goku's Family"" Category ally
attacking in the same turn*
- Damage reduction rate 30%{passiveImg:up_g} when guard is activated
- ATK 59%{passiveImg:up_g} when attacking with 12 or more Ki"
4095,Toppo's Burning Justice,"ATK & DEF +150%; plus an additional 
ATK +100% when performing a Super Attack; 
reduces damage received by 11%; ""Special Pose"" 
or ""Defenders of Justice"" Category allies' 
ATK & DEF +20%; plus an additional DEF +100% 
as the 1st attacker in a turn; plus an additional 
ATK & DEF +50% when performing a Super Attack 
as the 2nd or 3rd attacker in a turn","*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
- Damage reduction rate 11%{passiveImg:up_g}
- ""Special Pose"" or ""Defenders of Justice"" Category allies'
ATK & DEF 20%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 100%{passiveImg:up_g}
*As the 1st attacker in a turn*
- DEF 100%{passiveImg:up_g}
*As the 2nd or 3rd attacker in a turn*
- ATK & DEF 50%{passiveImg:up_g} when attacking with 12 or more Ki"
