id,name,itemized_description
4333,Quivering Anger,"*Basic effect(s)*
- Ki +3 and ATK & DEF 160%{passiveImg:up_g}
- Super Class allies' Ki +2 and ATK 30%{passiveImg:up_g}
- Extreme Class allies' Ki +2 and DEF 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 160%{passiveImg:up_g}
- High chance of performing a critical hit
*When there is another ""Movie Bosses"", ""Realm of Gods"" or
""Exploding Rage"" Category ally attacking in the same turn*
- DEF 160%{passiveImg:up_g}
- Guards all attacks
*For every attack received*
- {passiveImg:forever}ATK & DEF 40%{passiveImg:up_g} (up to 160%)
*When HP is 30% or more*
- Damage reduction rate 30%{passiveImg:up_g}
*When HP is 60% or more*
- Damage reduction rate 30%{passiveImg:up_g}
*When HP is 60% or less*
- Great chance of launching an additional Super Attack
- Rages (up to 2 time(s))"
4334,Destructive Anger,"*Basic effect(s)*
- Ki +1 and ATK 400%{passiveImg:up_g}
- Launches an additional attack that has a great chance of
becoming a Super Attack
*For every Ki Sphere obtained*
- ATK 50%{passiveImg:up_g}"
4335,I'm the Strongest in the Universe,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
*For every turn passed*
- {passiveImg:forever}ATK 25%{passiveImg:up_g} (up to 100%)
*When HP is 50% or more*
- Damage reduction rate 20%{passiveImg:up_g}
*When HP is 80% or less*
- ATK 50%{passiveImg:up_g}
- Medium chance of performing a critical hit
*When attacking with 12 or more Ki*
- ATK & DEF 150%{passiveImg:up_g}
- ATK & DEF 100%{passiveImg:up_g} and damage reduction rate 20%{passiveImg:up_g} when
there is another ""Wicked Bloodline"" Category ally attacking
in the same turn
*When all allies attacking in the same turn are Extreme Class
characters*
- Ki +2 and chance of performing a critical hit 50%{passiveImg:up_g}"
4336,Let's Decide Who's the Strongest,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- Damage reduction rate 20%{passiveImg:up_g}
- Launches 2 additional attacks, each of which has a medium
chance of becoming a Super Attack
*For 1 turn from the character's entry turn*
- Damage reduction rate 20%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 200%{passiveImg:up_g}
*For every Super Attack performed*
- ATK & DEF 30%{passiveImg:up_g} within the turn
- Damage reduction rate 10%{passiveImg:up_g} within the turn
*Every time the character performs 3 or more Super Attacks
in battle*
- Launches an additional Super Attack (up to once within a
turn)"
4337,Miracle Performed in Hell,"*Basic effect(s)*
- Ki +5 and ATK & DEF 200%{passiveImg:up_g}
- Receives an additional Ki +3 per Rainbow Ki Sphere obtained
- ""Successors"" or ""Fusion"" Category allies' Ki +1 and DEF 40%{passiveImg:up_g}
*For 3 turns from the character's entry turn*
- DEF 300%{passiveImg:up_g}
- Guards all attacks
*When attacking*
- ATK 200%{passiveImg:up_g}
- DEF 100%{passiveImg:up_g}
*When attacking with 10 or more Ki*
- Attacks are effective against all Types
*When attacking with 20 or more Ki*
- Launches an additional Super Attack
*As the 2nd or 3rd attacker in a turn*
- Guards all attacks
- Launches an additional attack that has a great chance of 
becoming a Super Attack
*Starting from the 4th turn from the start of battle*
- Meets up with Super Saiyan Goku (Angel) and can perform 
Reversible Exchange"
4338,Key of the Plan,"*Basic effect(s)*
- ATK & DEF 170%{passiveImg:up_g}
- High chance of evading enemy's attack
- ""Androids"" Category allies' Ki +1, ATK 30%{passiveImg:up_g} and DEF
20%{passiveImg:up_g}
- ""Artificial Life Forms"" Category allies' Ki +1, ATK 30%{passiveImg:up_g} and
DEF 20%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 170%{passiveImg:up_g}
- Chance of evading enemy's attack 17%{passiveImg:up_g}
*When there is another ""Androids"" or ""Artificial Life Forms""
Category ally attacking in the same turn*
- ATK 100%{passiveImg:up_g}
- DEF 70%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack"
4339,Warm Love,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- High chance of evading enemy's attack
- Attacked enemy's ATK 20%{passiveImg:down_y} for 2 turn(s)
*When there is an ally or an enemy whose name includes
""Goku (Youth)""*
- Ki +3
- ATK & DEF 120%{passiveImg:up_g}
*Per ""DB Saga"" Category ally attacking in the same turn*
- Chance of evading enemy's attack 5%{passiveImg:up_g}
*After evading 5 or more attacks in battle*
- {passiveImg:forever}Chance of evading enemy's attack 5%{passiveImg:up_g}
*After evading an attack*
- ATK & DEF 120%{passiveImg:up_g} and medium chance of performing a
critical hit for 5 turn(s)"
4440,Warm Love,"*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
- High chance of evading enemy's attack
- Attacked enemy's ATK 30%{passiveImg:down_y} for 2 turn(s)
*When there is an ally or an enemy whose name includes
""Goku (Youth)""*
- Ki +3
- ATK & DEF 150%{passiveImg:up_g}
*For 1 turn from the character's entry turn*
- Chance of evading enemy's attack 15%{passiveImg:up_g}
*Per ""DB Saga"" Category ally attacking in the same turn*
- Chance of evading enemy's attack 5%{passiveImg:up_g}
*After evading 5 or more attacks in battle*
- {passiveImg:forever}Chance of evading enemy's attack 5%{passiveImg:up_g}
*After evading 8 or more attacks in battle*
- {passiveImg:forever}Chance of evading enemy's attack 8%{passiveImg:up_g}
*After evading an attack*
- ATK & DEF 150%{passiveImg:up_g} and high chance of performing a critical
hit for 5 turn(s)"
4441,Eye-Opening Performance,"*Basic effect(s)*
- Ki +2
- ATK & DEF 150%{passiveImg:up_g}
- Launches an additional attack that has a medium chance of
becoming a Super Attack
- High chance of evading enemy's attack
*After receiving an attack*
- ATK & DEF 120%{passiveImg:up_g} for 3 turn(s)
*After evading an attack*
- ATK 180%{passiveImg:up_g} for 3 turn(s)
*When there is another ""Androids"" Category ally on the team*
- Launches an additional attack that has a great chance of
becoming a Super Attack"
4442,Eye-Opening Performance,"*Basic effect(s)*
- Ki +3
- ATK & DEF 180%{passiveImg:up_g}
- Launches an additional attack that has a medium chance of
becoming a Super Attack
- High chance of evading enemy's attack
*After receiving an attack*
- ATK & DEF 180%{passiveImg:up_g} for 3 turn(s)
*After evading an attack*
- ATK 180%{passiveImg:up_g} and launches an additional attack that has a
medium chance of becoming a Super Attack for 3 turn(s)
*When there is another ""Androids"" Category ally on the team*
- Launches an additional Super Attack"
4443,Smallest Martial Artist in the House,"*Basic effect(s)*
- ATK & DEF 180%{passiveImg:up_g}
- High chance of evading enemy's attack
*Before receiving an attack within the turn*
- ATK & DEF 80%{passiveImg:up_g}
*After evading an attack*
- ATK & DEF 120%{passiveImg:up_g} for 5 turn(s)
*As the 1st attacker in a turn*
- Ki +2
- Performs a critical hit
- Launches an additional attack that has a medium chance of
becoming a Super Attack
*When the target enemy is in the following status: {passiveImg:astute}*
- ATK 80%{passiveImg:up_g}"
4444,Smallest Martial Artist in the House,"*Basic effect(s)*
- ATK & DEF 200%{passiveImg:up_g}
- High chance of evading enemy's attack
*Before receiving an attack within the turn*
- ATK & DEF 100%{passiveImg:up_g}
- Chance of evading enemy's attack 20%{passiveImg:up_g}
*After evading an attack*
- ATK & DEF 150%{passiveImg:up_g} for 5 turn(s)
*As the 1st attacker in a turn*
- Ki +3
- Performs a critical hit
- Launches an additional attack that has a high chance of
becoming a Super Attack
*As the 2nd or 3rd attacker in a turn*
- Launches an additional Super Attack
*When the target enemy is in the following status: {passiveImg:astute}*
- ATK 100%{passiveImg:up_g}"
4445,Foreboding Tension,"*Activates the Entrance Animation when HP is 99% or less at the 
start of the character's attacking turn, or when there is another 
""Successors"" Category ally attacking in the same turn at the start 
of the character's attacking turn*
- {passiveImg:once}{passiveImg:forever}ATK & DEF 150%{passiveImg:up_g}
- {passiveImg:once}Guards all attacks for 7 turns
- {passiveImg:once}High chance of launching an additional Super Attack 
for 7 turns
*Basic effect(s)*
- Randomly changes Ki Spheres of a certain Type to Rainbow Ki 
Spheres
- High chance of evading enemy's attack
- Launches an additional attack that has a high chance of 
becoming a Super Attack
- ""Successors"" Category allies' Ki +2 and ATK & DEF 50%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 150%{passiveImg:up_g}
*When HP is 90% or more*
- DEF 150%{passiveImg:up_g}
*When HP is 90% or less*
- Launches an additional Super Attack
*When HP is 70% or less*
- Launches an additional Super Attack
*When facing only 1 enemy*
- ATK & chance of performing a critical hit 50%{passiveImg:up_g} when the 
enemy's HP is 50% or more
- ATK & chance of performing a critical hit 50%{passiveImg:up_g} when the 
enemy's HP is 80% or more"
4447,Frieza's Will to Fight,"*Basic effect(s)*
- Ki +7
- ATK & DEF 200%{passiveImg:up_g}
- Launches an additional attack that has a great chance of 
becoming a Super Attack
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained
*For 2 turns from the character's entry turn*
- ""Representatives of Universe 7"" or ""Battle of Fate"" Category 
allies' ATK & DEF 77%{passiveImg:up_g}
*When attacking*
- ATK & DEF 150%{passiveImg:up_g}
- Ki +7 and ATK 77%{passiveImg:up_g} when HP is 77% or less
*When receiving an attack*
- Damage reduction rate 50%{passiveImg:up_g} when HP is 77% or less
*When all allies attacking in the same turn are Super Class 
characters (self excluded)*
- Performs a critical hit
- Launches an additional Super Attack
*When all allies attacking in the same turn are Extreme Class 
characters (self excluded)*
- Launches 2 additional Super Attacks
*Starting from the 4th turn from the start of battle*
- Meets up with Goku and can perform Reversible Exchange"
4448,Goku's Will to Fight,"*Basic effect(s)*
- Can perform Reversible Exchange with Frieza (Final Form) (Angel)
- Ki +7 and ATK & DEF 200%{passiveImg:up_g}
- Guards all attacks
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained
*When attacking*
- Launches an additional Super Attack when HP is 77% or more
*When receiving an attack*
- ATK & DEF 100%{passiveImg:up_g}
- DEF 77%{passiveImg:up_g} when HP is 77% or more
*For every Ki Sphere obtained*
- ATK & DEF 17%{passiveImg:up_g}
*With a Rainbow Ki Sphere obtained*
- Damage reduction rate 59%{passiveImg:up_g}
- Attacks are effective against all Types"
4449,Victor's Fortitude,"*Basic effect(s)*
- ATK & DEF 158%{passiveImg:up_g}
- Super Class allies' ATK & DEF 30%{passiveImg:up_g} and if there is an
Extreme Class enemy, plus an additional ATK & DEF 28%{passiveImg:up_g}
*When attacking with 7 or more Ki*
- Ki +5 and ATK & DEF 100%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 100%{passiveImg:up_g}
*When all allies are Super Class characters*
- Launches an additional Super Attack
- Medium chance of performing a critical hit
*As the 2nd or 3rd attacker in a turn*
- Guards all attacks
- Medium chance of evading enemy's attack
*For every Super Attack performed*
- {passiveImg:forever}DEF 30%{passiveImg:up_g} (up to 120%)
- {passiveImg:forever}Chance of performing a critical hit & chance of evading
enemy's attack 10%{passiveImg:up_g} (up to 40%)"
4450,Elements Gathered in Buu,"*Basic effect(s)*
- Ki +1
- ATK & DEF 150%{passiveImg:up_g}
- Guards all attacks
*When attacking*
- ATK 58%{passiveImg:up_g}
*For 6 turns from the start of battle*
- ATK & DEF 50%{passiveImg:up_g}
- Medium chance of performing a critical hit
*When there is another ""Power Absorption"" or
""Transformation Boost"" Category ally attacking in the same
turn*
- Extreme Class allies' Ki +1 and ATK & DEF 30%{passiveImg:up_g}
*When receiving an attack for the 1st time*
- The more HP remaining, the greater the DEF boost within the
turn (up to 100%{passiveImg:up_g})"
4451,Power Merged with Buu,"*Basic effect(s)*
- Ki +2
- ATK & DEF 200%{passiveImg:up_g}
- Guards all attacks
*When attacking*
- ATK & DEF 58%{passiveImg:up_g}
*For 6 turns from the start of battle*
- ATK & DEF 100%{passiveImg:up_g}
- High chance of performing a critical hit
*Starting from the 7th turn from the start of battle*
- High chance of evading enemy's attack
- Launches an additional attack that has a great chance of
becoming a Super Attack
*When there is another ""Power Absorption"" or
""Transformation Boost"" Category ally attacking in the same
turn*
- ATK & chance of performing a critical hit 50%{passiveImg:up_g}
- Extreme Class allies' Ki +2 and ATK & DEF 50%{passiveImg:up_g}
*When receiving an attack for the 1st time*
- The more HP remaining, the greater the DEF boost within the
turn (up to 150%{passiveImg:up_g})"
4452,Demonic Maze,"*Basic effect(s)*
- Ki +6
- ATK & DEF 300%{passiveImg:up_g}
- Damage reduction rate 70%{passiveImg:up_g}
- Changes Ki Spheres: AGL to TEQ
- Recovers 30% HP at the end of turn
*When attacking*
- ATK 100%{passiveImg:up_g}
*For every Ki Sphere obtained*
- Chance of performing a critical hit 5%{passiveImg:up_g}
- DEF 40%{passiveImg:up_g} when receiving an attack
*3 or more Ki Spheres obtained*
- Launches an additional Super Attack
*6 or more Ki Spheres obtained*
- Launches an additional Super Attack
*When there is a ""Fused Fighters"" Category enemy*
- Launches an additional Super Attack"
4453,Vigilance against the Majin,"*Basic effect(s)*
- High chance of guarding all attacks
- ""Majin Buu Saga"" or ""Potara"" Category allies' Ki +1 and ATK
& DEF 30%{passiveImg:up_g}
*Per Super Class ally on the team (self excluded)*
- ATK & DEF 30%{passiveImg:up_g} (up to 120%)
*When attacking*
- ATK & DEF 120%{passiveImg:up_g}
*When there is a ""Majin Power"" Category enemy*
- ATK 120%{passiveImg:up_g}
- High chance of performing a critical hit"
4454,Strategy against the Majin,"*Basic effect(s)*
- High chance of guarding all attacks
- ""Majin Buu Saga"" or ""Potara"" Category allies' Ki +1 and ATK
& DEF 40%{passiveImg:up_g}, plus an additional Ki +1 and ATK & DEF 20%{passiveImg:up_g}
for characters who also belong to the ""Realm of Gods""
Category
*Per Super Class ally on the team (self excluded)*
- Ki +1 (up to +4)
- ATK & DEF 50%{passiveImg:up_g} (up to 200%)
*When attacking*
- ATK & DEF 200%{passiveImg:up_g}
*After receiving an attack*
- DEF 100%{passiveImg:up_g}
*When there is another ""Majin Buu Saga"" Category ally
attacking in the same turn*
- Guards all attacks
- Launches an additional attack that has a great chance of
becoming a Super Attack
*When there is a ""Majin Power"" Category enemy*
- ATK 200%{passiveImg:up_g}
- Performs a critical hit"
4455,I'm Going to Beat You MY Way!,"*Activates the Entrance Animation when there is another 
""Universe Survival Saga"" Category ally on the team upon 
the character's entry*
- {passiveImg:once}ATK 60%{passiveImg:up_g} and damage reduction rate 30%{passiveImg:up_g} for 
6 turns
*Basic effect(s)*
- ATK & DEF 200%{passiveImg:up_g}
- Randomly changes Ki Spheres of a certain Type (STR excluded) 
to Rainbow Ki Spheres
*When attacking*
- ATK 200%{passiveImg:up_g}
*For every attack performed*
- {passiveImg:forever}Ki +1
- {passiveImg:forever}DEF 40%{passiveImg:up_g} (up to 200%)
- Damage reduction rate 7%{passiveImg:up_g} within the turn
*For every 2 Ki Spheres obtained*
- Launches an additional attack that has a medium chance of 
becoming a Super Attack (up to 5 times within a turn)
*After the character performs 6 or more Super Attacks in battle*
- {passiveImg:forever}Damage reduction rate 30%{passiveImg:up_g}
*After the character performs 7 or more Super Attacks in battle*
- {passiveImg:forever}Performs a critical hit"
4456,Ready for a Serious Fight,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- High chance of evading enemy's attack
*The more HP remaining*
- DEF{passiveImg:up_g} (up to 120%)
*When HP is 50% or more*
- Chance of evading enemy's attack 20%{passiveImg:up_g}
*The less HP remaining*
- ATK{passiveImg:up_g} (up to 120%)
*When HP is 50% or less*
- Chance of performing a critical hit 20%{passiveImg:up_g}
*When there is another ""Majin Buu Saga"" Category ally
attacking in the same turn or a ""Majin Buu Saga"" Category
enemy*
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
*1 or more Rainbow Ki Spheres obtained*
- Chance of performing a critical hit 50%{passiveImg:up_g}
*3 or more Ki Spheres obtained*
- ATK & DEF 120%{passiveImg:up_g} when attacking
*When facing only 1 enemy and that enemy's HP is 50% or
more starting from the 3rd turn from the start of battle*
- Transforms"
4457,Stunning Transformation,"*Basic effect(s)*
- Ki +3 and ATK & DEF 200%{passiveImg:up_g}
- High chance of evading enemy's attack
*The more HP remaining*
- DEF{passiveImg:up_g} (up to 150%)
*When HP is 50% or more*
- Chance of evading enemy's attack 30%{passiveImg:up_g}
*The less HP remaining*
- ATK{passiveImg:up_g} (up to 150%)
*When HP is 50% or less*
- Chance of performing a critical hit 30%{passiveImg:up_g}
*When there is another ""Majin Buu Saga"" Category ally
attacking in the same turn or a ""Majin Buu Saga"" Category
enemy*
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
*1 or more Rainbow Ki Spheres obtained*
- Chance of performing a critical hit 70%{passiveImg:up_g}
*3 or more Ki Spheres obtained*
- ATK & DEF 133%{passiveImg:up_g} when attacking
*6 or more Ki Spheres obtained*
- Launches an additional Super Attack
- Performs a critical hit"
4458,Will for a Serious Fight,"*Basic effect(s)*
- Ki +2 and ATK & DEF 150%{passiveImg:up_g}
- Damage reduction rate 30%{passiveImg:up_g}
*The more HP remaining*
- ATK{passiveImg:up_g} (up to 120%)
*When HP is 50% or more*
- Great chance of launching an additional Super Attack
*The less HP remaining*
- DEF{passiveImg:up_g} (up to 120%)
*When HP is 50% or less*
- Guards all attacks
*When there is another ""Majin Buu Saga"" Category ally
attacking in the same turn or a ""Majin Buu Saga"" Category
enemy*
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
*1 or more Rainbow Ki Spheres obtained*
- Damage reduction rate 20%{passiveImg:up_g}
*3 or more Ki Spheres obtained*
- ATK & DEF 120%{passiveImg:up_g} when attacking
*Starting from the 3rd turn from the start of battle*
- Receives a boost from Babidi's sorcery when facing only 1
enemy and that enemy's HP is 50% or more"
4459,Transformed Threat,"*Basic effect(s)*
- Ki +3 and ATK & DEF 200%{passiveImg:up_g}
- Damage reduction rate 33%{passiveImg:up_g}
*The more HP remaining*
- ATK{passiveImg:up_g} (up to 150%)
*When HP is 50% or more*
- Launches an additional Super Attack
*The less HP remaining*
- DEF{passiveImg:up_g} (up to 150%)
*When HP is 50% or less*
- Guards all attacks
*When there is another ""Majin Buu Saga"" Category ally
attacking in the same turn or a ""Majin Buu Saga"" Category
enemy*
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
*1 or more Rainbow Ki Spheres obtained*
- Damage reduction rate 33%{passiveImg:up_g}
*3 or more Ki Spheres obtained*
- Attacks are effective against all Types
- ATK & DEF 130%{passiveImg:up_g} when attacking
*6 or more Ki Spheres obtained*
- Guards all attacks
- ATK & DEF 66%{passiveImg:up_g} when attacking"
4460,Test of Strength in the Demon Realm,"*Basic effect(s)*
- Ki +2 and ATK & DEF 100%{passiveImg:up_g}
- Damage reduction rate 20%{passiveImg:up_g}
- Medium chance of evading enemy's attack
*As the 2nd attacker in a turn*
- ATK 100%{passiveImg:up_g}
*When receiving an attack*
- DEF 100%{passiveImg:up_g}
*For every attack received or evaded*
- {passiveImg:forever}ATK 20%{passiveImg:up_g} (up to 100%)"
4461,Serious Fight in the Demon Realm,"*Activates the Entrance Animation upon the character's
entry*
- {passiveImg:once}Damage reduction rate & chance of evading enemy's
attack 20%{passiveImg:up_g} for 1 turn
*Basic effect(s)*
- Ki +3 and ATK & DEF 200%{passiveImg:up_g}
- Damage reduction rate 30%{passiveImg:up_g}
- High chance of evading enemy's attack
*As the 1st or 2nd attacker in a turn*
- DEF 100%{passiveImg:up_g}
- Chance of evading enemy's attack 20%{passiveImg:up_g}
*As the 2nd attacker in a turn*
- ATK 100%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack
*When receiving an attack*
- DEF 200%{passiveImg:up_g}
*For every attack received or evaded*
- {passiveImg:forever}ATK 50%{passiveImg:up_g} (up to 200%)
*Starting from the character's next attacking turn after the
character evades 5 or more attacks in battle, or starting from
the 6th turn from the character's entry turn*
- {passiveImg:forever}ATK 159%{passiveImg:up_g}
- {passiveImg:forever}Attacks are effective against all Types"
4462,Mysterious Young Majin,"*Basic effect(s)*
- Ki +2 and ATK & DEF 100%{passiveImg:up_g}
- Launches an additional attack that has a medium chance of
becoming a Super Attack
- Medium chance of evading enemy's attack
*As the 3rd attacker in a turn*
- All allies' ATK & DEF 30%{passiveImg:up_g} for 2 turns
*When attacking*
- ATK & DEF 100%{passiveImg:up_g}
*For every attack performed*
- ATK & DEF 20%{passiveImg:up_g} within the turn"
4463,Mysterious Strength,"*Activates the Entrance Animation upon the character's
entry*
- {passiveImg:once}Launches an additional attack that has a great chance
of becoming a Super Attack for 1 turn
*Basic effect(s)*
- Ki +3 and ATK & DEF 200%{passiveImg:up_g}
- Launches an additional attack that has a high chance of
becoming a Super Attack
- High chance of evading enemy's attack
*As the 2nd or 3rd attacker in a turn*
- Launches an additional attack that has a great chance of
becoming a Super Attack
*As the 3rd attacker in a turn*
- All allies' Ki +1 and ATK & DEF 50%{passiveImg:up_g} for 3 turns
*When attacking*
- ATK & DEF 150%{passiveImg:up_g}
*For every attack performed*
- ATK & DEF 50%{passiveImg:up_g} within the turn
*For every Super Attack performed*
- ATK 30%{passiveImg:up_g} within the turn
- Chance of evading enemy's attack 10%{passiveImg:up_g} within the turn (up
to 30%)
*Every time the character performs 3 or more Super Attacks
in battle*
- Launches an additional Super Attack (up to once within a
turn)"
4464,Time-Bound Power,"*Basic effect(s)*
- Ki +2 and ATK & DEF 120%{passiveImg:up_g}
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
*When receiving an attack*
- DEF 40%{passiveImg:up_g}
*After receiving an attack*
- ATK 40%{passiveImg:up_g}
*When there is another ""Final Trump Card"" Category ally on
the team*
- DEF 40%{passiveImg:up_g}
- Damage reduction rate 20%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 50%{passiveImg:up_g}"
4465,Time-Bound Chance,"*Basic effect(s)*
- Ki +3 and ATK & DEF 150%{passiveImg:up_g}
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
*When receiving an attack*
- DEF 50%{passiveImg:up_g}
*After receiving an attack*
- ATK 50%{passiveImg:up_g}
*When there is another ""Final Trump Card"" Category ally on
the team*
- DEF 50%{passiveImg:up_g}
- Damage reduction rate 30%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 70%{passiveImg:up_g}"
4466,Light,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Receives an additional Ki +1 per Type Ki Sphere obtained
- ""Earth-Protecting Heroes"" Category allies' DEF 30%{passiveImg:up_g}
*When attacking*
- ATK 100%{passiveImg:up_g}
- Damage reduction rate 10%{passiveImg:up_g}
*When attacking with 10 or more Ki*
- Attacks are effective against all Types
*As the 2nd or 3rd attacker in a turn*
- Damage reduction rate 10%{passiveImg:up_g}
- Launches an additional attack that has a medium chance 
of becoming a Super Attack"
4467,Ignited Soul,"*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
- Receives an additional Ki +1 per Type Ki Sphere obtained
- ""Earth-Protecting Heroes"" Category allies' Ki +1 and DEF 30%{passiveImg:up_g}
*When attacking*
- ATK 150%{passiveImg:up_g}
- Damage reduction rate 15%{passiveImg:up_g}
*When attacking with 10 or more Ki*
- Attacks are effective against all Types
*As the 2nd or 3rd attacker in a turn*
- Damage reduction rate 15%{passiveImg:up_g}
- Launches an additional attack that has a high chance of 
becoming a Super Attack"
4468,Elder Kai's Plan,"*Basic effect(s)*
- ATK & DEF 200%{passiveImg:up_g}
- Receives an additional Ki +2 per Type Ki Sphere obtained
- ""Earth-Protecting Heroes"" or ""Potara"" Category allies' 
Ki +1 and DEF 40%{passiveImg:up_g}
*For 3 turns from the character's entry turn*
- Damage reduction rate 50%{passiveImg:up_g}
*When attacking*
- ATK 200%{passiveImg:up_g}
- Damage reduction rate 20%{passiveImg:up_g}
*When attacking with 10 or more Ki*
- Attacks are effective against all Types
*When attacking with 20 or more Ki*
- Launches an additional Super Attack
*As the 2nd or 3rd attacker in a turn*
- Damage reduction rate 20%{passiveImg:up_g}
- Launches an additional attack that has a great chance of 
becoming a Super Attack
*Starting from the 4th turn from the start of battle*
- Meets up with Super Saiyan Vegeta (Angel) and can 
perform Reversible Exchange"
4469,King Yemma's Plan,"*Basic effect(s)*
- Can perform Reversible Exchange with Super Saiyan Goku
- ATK & DEF 200%{passiveImg:up_g}
- Damage reduction rate 50%{passiveImg:up_g}
- Receives an additional Ki +2 per Type Ki Sphere obtained
- ""Earth-Protecting Heroes"" or ""Potara"" Category allies' 
Ki +1 and ATK 40%{passiveImg:up_g}
*When attacking*
- ATK 100%{passiveImg:up_g}
*When receiving an attack with 10 or more Ki*
- Damage reduction rate 20%{passiveImg:up_g}
*When attacking with 20 or more Ki*
- Launches an additional Super Attack
*As the 1st attacker in a turn*
- Guards all attacks
- Launches an additional attack that has a great chance of 
becoming a Super Attack"
4470,King Yemma's Plan,"*Basic effect(s)*
- Can perform Reversible Exchange with Super Saiyan Goku
- ATK & DEF 200%{passiveImg:up_g}
- Damage reduction rate 50%{passiveImg:up_g}
- Receives an additional Ki +2 per Type Ki Sphere obtained
- ""Earth-Protecting Heroes"" or ""Potara"" Category allies' 
Ki +1 and ATK 40%{passiveImg:up_g}
*When attacking*
- ATK 100%{passiveImg:up_g}
*When receiving an attack with 10 or more Ki*
- Damage reduction rate 20%{passiveImg:up_g}
*When attacking with 20 or more Ki*
- Launches an additional Super Attack
*As the 1st attacker in a turn*
- Guards all attacks
- Launches an additional attack that has a great chance of 
becoming a Super Attack"
4471,"Vegito, Fighter of High Morale","*Basic effect(s)*
- {passiveImg:once}Fully recovers HP
- ATK & DEF 300%{passiveImg:up_g}
- Receives an additional Ki +3 per Type Ki Sphere obtained
- Guards all attacks
- Damage reduction rate 60%{passiveImg:up_g}
- Launches an additional Ultra Super Attack
- ""Earth-Protecting Heroes"" or ""Potara"" Category allies' 
Ki +2 and ATK & DEF 40%{passiveImg:up_g}
*For every attack performed*
- {passiveImg:forever}Chance of performing a critical hit 20%{passiveImg:up_g} 
(up to 100%)
*For every attack received*
- ATK 10%{passiveImg:up_g} within the turn
*When receiving a normal attack*
- Counters with ferocious power
*For 4 turns from the character's entry turn*
- Foresees enemy's Super Attack"
4472,Divine Aid,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained
- ""Successors"" Category allies' DEF 30%{passiveImg:up_g}
*When attacking*
- ATK 100%{passiveImg:up_g}
- DEF 50%{passiveImg:up_g}
*When attacking with 10 or more Ki*
- Attacks are effective against all Types
*As the 2nd or 3rd attacker in a turn*
- Guards all attacks
- Launches an additional attack that has a medium chance of 
becoming a Super Attack"
4473,Fierce Soul,"*Basic effect(s)*
- ATK & DEF 150%{passiveImg:up_g}
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained
- ""Successors"" Category allies' Ki +1 and DEF 30%{passiveImg:up_g}
*When attacking*
- ATK 150%{passiveImg:up_g}
- DEF 70%{passiveImg:up_g}
*When attacking with 10 or more Ki*
- Attacks are effective against all Types
*As the 2nd or 3rd attacker in a turn*
- Guards all attacks
- Launches an additional attack that has a high chance of 
becoming a Super Attack"
4474,Miracle Performed in Hell,"*Basic effect(s)*
- Ki +5 and ATK & DEF 200%{passiveImg:up_g}
- Receives an additional Ki +3 per Rainbow Ki Sphere obtained
- ""Successors"" or ""Fusion"" Category allies' Ki +1 and DEF 40%{passiveImg:up_g}
*For 3 turns from the character's entry turn*
- DEF 300%{passiveImg:up_g}
- Guards all attacks
*When attacking*
- ATK 200%{passiveImg:up_g}
- DEF 100%{passiveImg:up_g}
*When attacking with 10 or more Ki*
- Attacks are effective against all Types
*When attacking with 20 or more Ki*
- Launches an additional Super Attack
*As the 2nd or 3rd attacker in a turn*
- Guards all attacks
- Launches an additional attack that has a great chance of 
becoming a Super Attack
*Starting from the 4th turn from the start of battle*
- Meets up with Super Saiyan Goku (Angel) and can perform 
Reversible Exchange"
